# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.0234529732963 t_sap_s=0.0234529732963
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=1.83212377625 agree=9 voting=225 distinct=75 largest_block=4
# modal_lead_hz=0
# df_hz=0.166556706932 quant_px=0 coherence_gate=0.377156494328 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=1.33245365546 agree=8 input=225 survivors=88 snr_cull=0 sigma_cull=0 neigh_cull=137 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.471822627513 median=0.54483148903 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=88
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
207,13,12,1.83212377625,5.32620315278,0.684977489086,0,0,0,0.558322900179,1,1,1,0.438547997991
208,13,13,1.83212377625,5.32620315278,0.707579964384,0,0,0,0.558322900179,1,1,1,0.438547997991
209,13,14,2.16523719012,4.90642309533,0.631628239757,0,0,0,0.498794307269,1,0,0,0.430064305482
210,14,0,1.83212377625,7.32805712813,0.67107449499,0,0,0,0.58768859634,1,1,0,0.367810033508
211,14,1,2.66490731091,4.82134709316,0.638819649686,0,0,0,0.55171138195,1,0,0,0.381805894751
212,14,2,2.66490731091,4.82134709316,0.646302768705,0,0,0,0.55171138195,1,0,0,0.381805894751
213,14,3,5.82948474262,6.17758392978,0.637349279287,0,0,0,0.521432248648,1,0,0,0.424957534856
214,14,4,3.33113413864,6.65029114772,0.721887691139,0,0,0,0.524182664925,1,0,1,0.38744489697
215,14,5,3.33113413864,6.65029114772,0.679137962066,0,0,0,0.524182664925,1,0,1,0.38744489697
216,14,6,19.8202481249,7.87831231699,0.670362710728,0,0,0,0.55512228965,1,0,1,0.431026872077
217,14,7,19.8202481249,7.87831231699,0.683615385838,0,0,0,0.55512228965,1,0,1,0.431026872077
218,14,8,0.499670120796,5.18706105667,0.645684779305,0,0,0,0.585988399393,1,0,0,0.412248586602
219,14,9,0.499670120796,5.18706105667,0.679999491771,0,0,0,0.585988399393,1,0,0,0.412248586602
220,14,10,10.1599591229,5.14678929584,0.630765040667,0,0,0,0.625631239982,1,0,0,0.399389076636
221,14,11,2.66490731091,4.18003857798,0.6613713188,0,0,0,0.541822071026,1,0,1,0.38325486565
222,14,12,2.66490731091,4.80513754427,0.696032507702,0,0,0,0.544218163433,1,0,1,0.447703541662
223,14,13,2.66490731091,4.80513754427,0.70152397063,0,0,0,0.544218163433,1,0,0,0.447703541662
224,14,14,7.16193839808,5.35427631472,0.638264977418,0,0,0,0.613334409524,1,0,0,0.421829783709
