scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes,rms_um,peak_um,chan,note
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,18432,1.5310,5.5609,HHN,
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,12800,1.0991,4.4990,HHN,
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,12288,2.5872,13.5347,HHE,
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,11776,1.3074,4.7268,HHN,
CAPELLA_C06_SP_CPHD_HH_20220312195320_20220312195347,26.6,AM,R349C,44.03603603603604,-123.06843625304975,Raspberry Shake Citizen Science Station,RASPISHAKE,2022-03-12T19:53:47Z,2022-03-12T19:54:13Z,42496,25.1481,121.7588,ENN,
CAPELLA_C15_SP_CPHD_HH_20241012090329_20241012090356,26.6,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-10-12T09:03:56Z,2024-10-12T09:04:22Z,19968,3.0485,13.2064,HHN,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,21504,1.4295,6.1943,HHN,
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,19968,2.6103,11.6629,HHN,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,19456,1.5956,6.3045,HHE,
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,19456,5.1387,16.2561,HHE,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,18432,1.5439,7.9592,HHN,
CAPELLA_C09_SP_CPHD_HH_20240606011332_20240606011359,26.4,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-06T01:13:32Z,2024-06-06T01:13:58Z,18432,1.9491,7.5930,HHE,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,13312,1.4721,6.2332,HHN,
CAPELLA_C09_SP_CPHD_HH_20240617201311_20240617201337,26.4,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-17T20:13:10Z,2024-06-17T20:13:36Z,13312,1.6249,6.9802,HHN,
