scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,12800
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,11264
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,10752
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,10240
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,9728
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,43520
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,43008
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,43008
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,42496
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,BYL,19.412087,-155.259877,Byron's Ledge,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,39936
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,28160
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,26624
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,26112
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,25600
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,25600
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,25088
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,24576
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,24064
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,24064
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,23552
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,23040
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,23040
